raceId,year,circuitId,name,qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,raceId,driverId,constructorId,grid,positionOrder,points,laps,rank,fastestLapSpeed,driverid,driverref
1055,2021,4,"Spanish Grand Prix",8806,1055,842,213,10,12,1:18.190,1:17.982,\N,1055,842,213,12,10,1.0,65,8,206.820,842,gasly
1055,2021,4,"Spanish Grand Prix",8805,1055,840,117,18,11,1:18.241,1:17.974,\N,1055,840,117,11,11,0.0,65,11,203.735,840,stroll
1055,2021,4,"Spanish Grand Prix",8811,1055,8,51,7,17,1:18.917,\N,\N,1055,8,51,17,12,0.0,65,15,203.094,8,raikkonen
1055,2021,4,"Spanish Grand Prix",8807,1055,20,117,5,13,1:18.289,1:18.079,\N,1055,20,117,13,13,0.0,65,14,203.211,20,vettel
1055,2021,4,"Spanish Grand Prix",8809,1055,847,3,63,15,1:18.445,1:19.154,\N,1055,847,3,15,14,0.0,65,17,202.264,847,russell
1055,2021,4,"Spanish Grand Prix",8808,1055,841,51,99,14,1:18.549,1:18.356,\N,1055,841,51,14,15,0.0,65,13,203.255,841,giovinazzi
1055,2021,4,"Spanish Grand Prix",8813,1055,849,3,6,19,1:19.219,\N,\N,1055,849,3,19,16,0.0,65,16,203.003,849,latifi
1055,2021,4,"Spanish Grand Prix",8804,1055,4,214,14,10,1:18.281,1:17.966,1:18.147,1055,4,214,10,17,0.0,65,6,207.311,4,alonso
1055,2021,4,"Spanish Grand Prix",8812,1055,854,210,47,18,1:19.117,\N,\N,1055,854,210,18,18,0.0,64,12,203.661,854,mick_schumacher
1055,2021,4,"Spanish Grand Prix",8814,1055,853,210,9,20,1:19.807,\N,\N,1055,853,210,20,19,0.0,64,19,200.261,853,mazepin
1055,2021,4,"Spanish Grand Prix",8810,1055,852,213,22,16,1:18.556,\N,\N,1055,852,213,16,20,0.0,6,20,198.408,852,tsunoda
1056,2021,6,"Monaco Grand Prix",8818,1056,832,6,55,4,1:11.324,1:10.806,1:10.611,1056,832,6,4,2,18.0,78,5,160.989,832,sainz
1056,2021,6,"Monaco Grand Prix",8816,1056,830,9,33,2,1:11.124,1:10.650,1:10.576,1056,830,9,2,1,25.0,78,6,160.929,830,max_verstappen
1056,2021,6,"Monaco Grand Prix",8819,1056,846,1,4,5,1:11.321,1:11.031,1:10.620,1056,846,1,5,3,15.0,78,7,160.883,846,norris
1056,2021,6,"Monaco Grand Prix",8823,1056,815,9,11,9,1:11.644,1:11.019,1:11.573,1056,815,9,9,4,12.0,78,3,161.138,815,perez
1056,2021,6,"Monaco Grand Prix",8822,1056,20,117,5,8,1:12.078,1:11.309,1:11.419,1056,20,117,8,5,10.0,78,11,159.503,20,vettel
1056,2021,6,"Monaco Grand Prix",8820,1056,842,213,10,6,1:11.560,1:11.179,1:10.900,1056,842,213,6,6,8.0,78,14,159.300,842,gasly
1056,2021,6,"Monaco Grand Prix",8821,1056,1,131,44,7,1:11.622,1:11.116,1:11.095,1056,1,131,7,7,7.0,78,1,164.769,1,hamilton
1056,2021,6,"Monaco Grand Prix",8827,1056,840,117,18,13,1:11.979,1:11.600,\N,1056,840,117,13,8,4.0,77,8,160.875,840,stroll
1056,2021,6,"Monaco Grand Prix",8825,1056,839,214,31,11,1:11.740,1:11.486,\N,1056,839,214,11,9,2.0,77,12,159.503,839,ocon
1056,2021,6,"Monaco Grand Prix",8824,1056,841,51,99,10,1:11.658,1:11.409,1:11.779,1056,841,51,10,10,1.0,77,13,159.472,841,giovinazzi
1056,2021,6,"Monaco Grand Prix",8828,1056,8,51,7,14,1:11.899,1:11.642,\N,1056,8,51,14,11,0.0,77,9,160.237,8,raikkonen
1056,2021,6,"Monaco Grand Prix",8826,1056,817,1,3,12,1:11.747,1:11.598,\N,1056,817,1,12,12,0.0,77,4,161.082,817,ricciardo
1056,2021,6,"Monaco Grand Prix",8831,1056,4,214,14,17,1:12.205,\N,\N,1056,4,214,17,13,0.0,77,10,160.120,4,alonso
1056,2021,6,"Monaco Grand Prix",8829,1056,847,3,63,15,1:12.016,1:11.830,\N,1056,847,3,15,14,0.0,77,15,159.033,847,russell
1056,2021,6,"Monaco Grand Prix",8832,1056,849,3,6,18,1:12.366,\N,\N,1056,849,3,18,15,0.0,77,16,158.961,849,latifi
1056,2021,6,"Monaco Grand Prix",8830,1056,852,213,22,16,1:12.096,\N,\N,1056,852,213,16,16,0.0,77,2,162.259,852,tsunoda
1056,2021,6,"Monaco Grand Prix",8833,1056,853,210,9,19,1:12.958,\N,\N,1056,853,210,19,17,0.0,75,19,156.287,853,mazepin
1056,2021,6,"Monaco Grand Prix",8817,1056,822,131,77,3,1:10.938,1:10.695,1:10.601,1056,822,131,3,19,0.0,29,17,158.682,822,bottas
1056,2021,6,"Monaco Grand Prix",8815,1056,844,6,16,1,1:11.113,1:10.597,1:10.346,1056,844,6,1,20,0.0,0,0,\N,844,leclerc
1057,2021,73,"Azerbaijan Grand Prix",8840,1057,815,9,11,7,1:41.968,1:41.630,1:41.917,1057,815,9,6,1,25.0,51,2,206.432,815,perez
1057,2021,73,"Azerbaijan Grand Prix",8844,1057,20,117,5,11,1:42.460,1:42.224,\N,1057,20,117,11,2,18.0,51,4,206.032,20,vettel
1057,2021,73,"Azerbaijan Grand Prix",8837,1057,842,213,10,4,1:42.288,1:41.932,1:41.565,1057,842,213,4,3,15.0,51,6,205.386,842,gasly
1057,2021,73,"Azerbaijan Grand Prix",8834,1057,844,6,16,1,1:42.241,1:41.659,1:41.218,1057,844,6,1,4,12.0,51,8,205.071,844,leclerc
1057,2021,73,"Azerbaijan Grand Prix",8839,1057,846,1,4,6,1:42.167,1:41.813,1:41.747,1057,846,1,9,5,10.0,51,7,205.180,846,norris
1057,2021,73,"Azerbaijan Grand Prix",8842,1057,4,214,14,9,1:42.934,1:42.195,1:42.327,1057,4,214,8,6,8.0,51,11,204.601,4,alonso
1057,2021,73,"Azerbaijan Grand Prix",8841,1057,852,213,22,8,1:42.521,1:41.654,1:42.211,1057,852,213,7,7,6.0,51,5,205.936,852,tsunoda
1057,2021,73,"Azerbaijan Grand Prix",8838,1057,832,6,55,5,1:42.121,1:41.740,1:41.576,1057,832,6,5,8,4.0,51,13,204.454,832,sainz
1057,2021,73,"Azerbaijan Grand Prix",8846,1057,817,1,3,13,1:42.304,1:42.558,\N,1057,817,1,13,9,2.0,51,14,204.428,817,ricciardo
1057,2021,73,"Azerbaijan Grand Prix",8847,1057,8,51,7,14,1:42.923,1:42.587,\N,1057,8,51,14,10,1.0,51,10,204.645,8,raikkonen
1057,2021,73,"Azerbaijan Grand Prix",8853,1057,841,51,99,20,\N,\N,\N,1057,841,51,20,11,0.0,51,9,204.696,841,giovinazzi
1057,2021,73,"Azerbaijan Grand Prix",8843,1057,822,131,77,10,1:42.701,1:42.106,1:42.659,1057,822,131,10,12,0.0,51,12,204.521,822,bottas
1057,2021,73,"Azerbaijan Grand Prix",8850,1057,854,210,47,17,1:44.158,\N,\N,1057,854,210,17,13,0.0,51,18,200.799,854,mick_schumacher
1057,2021,73,"Azerbaijan Grand Prix",8851,1057,853,210,9,18,1:44.238,\N,\N,1057,853,210,18,14,0.0,51,19,200.569,853,mazepin
1057,2021,73,"Azerbaijan Grand Prix",8835,1057,1,131,44,2,1:41.545,1:41.634,1:41.450,1057,1,131,2,15,0.0,51,3,206.270,1,hamilton
1057,2021,73,"Azerbaijan Grand Prix",8849,1057,849,3,6,16,1:43.128,\N,\N,1057,849,3,16,16,0.0,51,17,202.712,849,latifi
1057,2021,73,"Azerbaijan Grand Prix",8848,1057,847,3,63,15,1:42.728,1:42.758,\N,1057,847,3,15,17,0.0,48,15,203.954,847,russell
1057,2021,73,"Azerbaijan Grand Prix",8836,1057,830,9,33,3,1:41.760,1:41.625,1:41.563,1057,830,9,3,18,0.0,45,1,206.839,830,max_verstappen
1057,2021,73,"Azerbaijan Grand Prix",8852,1057,840,117,18,19,\N,\N,\N,1057,840,117,19,19,0.0,29,16,203.478,840,stroll
1057,2021,73,"Azerbaijan Grand Prix",8845,1057,839,214,31,12,1:42.426,1:42.273,\N,1057,839,214,12,20,0.0,3,20,194.955,839,ocon
1058,2021,70,"Styrian Grand Prix",8874,1058,830,9,33,1,1:04.489,1:04.433,1:03.841,1058,830,9,1,1,25.0,71,3,228.542,830,max_verstappen
1058,2021,70,"Styrian Grand Prix",8876,1058,1,131,44,3,1:04.672,1:04.512,1:04.067,1058,1,131,2,2,19.0,71,1,231.811,1,hamilton
1058,2021,70,"Styrian Grand Prix",8875,1058,822,131,77,2,1:04.537,1:04.443,1:04.035,1058,822,131,5,3,15.0,71,5,226.537,822,bottas
1058,2021,70,"Styrian Grand Prix",8878,1058,815,9,11,5,1:04.638,1:04.197,1:04.168,1058,815,9,4,4,12.0,71,2,228.956,815,perez
1058,2021,70,"Styrian Grand Prix",8877,1058,846,1,4,4,1:04.584,1:04.298,1:04.120,1058,846,1,3,5,10.0,70,7,225.604,846,norris
1058,2021,70,"Styrian Grand Prix",8885,1058,832,6,55,12,1:04.859,1:04.800,\N,1058,832,6,12,6,8.0,70,4,226.570,832,sainz
1058,2021,70,"Styrian Grand Prix",8880,1058,844,6,16,7,1:04.745,1:04.646,1:04.472,1058,844,6,7,7,6.0,70,6,226.145,844,leclerc
1058,2021,70,"Styrian Grand Prix",8883,1058,840,117,18,10,1:04.821,1:04.663,1:04.708,1058,840,117,9,8,4.0,70,14,222.746,840,stroll
1058,2021,70,"Styrian Grand Prix",8882,1058,4,214,14,9,1:04.971,1:04.582,1:04.574,1058,4,214,8,9,2.0,70,13,222.867,4,alonso
1058,2021,70,"Styrian Grand Prix",8881,1058,852,213,22,8,1:04.608,1:04.631,1:04.514,1058,852,213,11,10,1.0,70,11,223.184,852,tsunoda
1058,2021,70,"Styrian Grand Prix",8891,1058,8,51,7,18,1:05.429,\N,\N,1058,8,51,18,11,0.0,70,8,224.869,8,raikkonen
1058,2021,70,"Styrian Grand Prix",8887,1058,20,117,5,14,1:05.051,1:04.875,\N,1058,20,117,14,12,0.0,70,15,222.637,20,vettel
1058,2021,70,"Styrian Grand Prix",8886,1058,817,1,3,13,1:05.142,1:04.808,\N,1058,817,1,13,13,0.0,70,9,224.295,817,ricciardo
1058,2021,70,"Styrian Grand Prix",8890,1058,839,214,31,17,1:05.217,\N,\N,1058,839,214,17,14,0.0,70,10,223.421,839,ocon
1058,2021,70,"Styrian Grand Prix",8888,1058,841,51,99,15,1:05.092,1:04.913,\N,1058,841,51,15,15,0.0,70,12,222.950,841,giovinazzi
1058,2021,70,"Styrian Grand Prix",8892,1058,854,210,47,19,1:06.041,\N,\N,1058,854,210,19,16,0.0,69,16,222.052,854,mick_schumacher
1058,2021,70,"Styrian Grand Prix",8889,1058,849,3,6,16,1:05.175,\N,\N,1058,849,3,16,17,0.0,68,17,221.739,849,latifi
1058,2021,70,"Styrian Grand Prix",8893,1058,853,210,9,20,1:06.192,\N,\N,1058,853,210,20,18,0.0,68,19,219.092,853,mazepin
1058,2021,70,"Styrian Grand Prix",8884,1058,847,3,63,11,1:05.033,1:04.671,\N,1058,847,3,10,19,0.0,36,18,220.496,847,russell
1058,2021,70,"Styrian Grand Prix",8879,1058,842,213,10,6,1:04.765,1:04.429,1:04.236,1058,842,213,6,20,0.0,1,0,\N,842,gasly
1059,2021,34,"French Grand Prix",8854,1059,830,9,33,1,1:31.001,1:31.080,1:29.990,1059,830,9,1,1,26.0,53,1,218.156,830,max_verstappen
1059,2021,34,"French Grand Prix",8855,1059,1,131,44,2,1:31.237,1:30.788,1:30.248,1059,1,131,2,2,18.0,53,5,215.903,1,hamilton
1059,2021,34,"French Grand Prix",8857,1059,815,9,11,4,1:31.560,1:30.971,1:30.445,1059,815,9,4,3,15.0,53,2,217.504,815,perez
1059,2021,34,"French Grand Prix",8856,1059,822,131,77,3,1:31.669,1:30.735,1:30.376,1059,822,131,3,4,12.0,53,3,216.905,822,bottas
1059,2021,34,"French Grand Prix",8861,1059,846,1,4,8,1:31.733,1:31.542,1:31.252,1059,846,1,8,5,10.0,53,6,215.870,846,norris
1059,2021,34,"French Grand Prix",8863,1059,817,1,3,10,1:32.181,1:31.615,1:31.382,1059,817,1,10,6,8.0,53,14,213.896,817,ricciardo
1059,2021,34,"French Grand Prix",8859,1059,842,213,10,6,1:31.898,1:31.353,1:30.868,1059,842,213,6,7,6.0,53,11,214.378,842,gasly
1059,2021,34,"French Grand Prix",8862,1059,4,214,14,9,1:32.158,1:31.549,1:31.340,1059,4,214,9,8,4.0,53,7,215.382,4,alonso
1059,2021,34,"French Grand Prix",8865,1059,20,117,5,12,1:32.132,1:31.767,\N,1059,20,117,12,9,2.0,53,4,216.508,20,vettel
1059,2021,34,"French Grand Prix",8872,1059,840,117,18,19,\N,\N,\N,1059,840,117,19,10,1.0,53,9,214.981,840,stroll
